,prompt,A,B,C,D,E,answer
0,Which of the following statements is true regarding the theories of relativity?,The theory of relativity only encompasses one theory by Albert Einstein.,Special relativity explains the law of gravitation and its relation to other forces of nature.,The theory of relativity does not encompass any theories by Albert Einstein.,"Special relativity applies to the cosmological and astrophysical domain, including the motion of planets, stars, and galaxies.",General relativity only applies to the motion of elementary particles and their interactions.,D
1,What is The Lightbox?,"The Lightbox is a technology park located in Woking, Surrey, in the South East of England. It focuses on research and development in the field of photonics and light-based technologies.","The Lightbox is a shopping center located in Woking, Surrey, in the South East of England. It offers a wide range of retail outlets and shops.","The Lightbox is a public gallery and museum located in Woking, Surrey, in the South East of England. It hosts a range of exhibitions and also has a free museum of local history - 'Woking's Story'.","The Lightbox is a theater located in Woking, Surrey, in the South East of England. It regularly hosts a variety of live performances and plays.","The Lightbox is a sports complex located in Woking, Surrey, in the South East of England. It offers various sports facilities, including swimming pools and fitness centers.",C
2,Where is Héninel located?,Héninel is a commune in the Rhône-Alpes region of France.,Héninel is a commune in the Vienne department in the Nouvelle-Aquitaine region of France.,Héninel is a commune in the Seine-Maritime department in the Normandy region of France.,Héninel is a commune in the Pas-de-Calais department in the Hauts-de-France region of France.,Héninel is a commune in the Saône-et-Loire department in the Bourgogne-Franche-Comté region of France.,D
3,What is the chemical formula of torbernite?,Cu[(UO2)(PO4)]2(H2O)8,Cu[(UO2)(PO4)]2(H2O)10,Cu[(UO2)(PO4)]2(H2O)6,Cu[(UO2)(PO4)]2(H2O)14,Cu[(UO2)(PO4)]2(H2O)12,A
4,What is a filter bubble or ideological frame?,"A state of intellectual curiosity that results from personalized searches, encouraging users to explore a wide range of viewpoints.",A state of intellectual stimulation that occurs when personalized searches provide users with diverse and unbiased information from various viewpoints.,"A state of intellectual isolation that can result from personalized searches, selectively curating search results based on user information, resulting in limited and customized views.",A state of intellectual growth that happens when personalized searches provide users with a well-rounded and comprehensive understanding of different ideologies and cultures.,A state of intellectual engagement where users are constantly challenging their beliefs and seeking alternative perspectives through personalized searches.,C
5,How is iodine commonly used as an antiseptic?,It can be used on wounds that are wet.,It can be inhaled for respiratory infections.,It can be given by mouth or injection into a muscle.,It can be used to disinfect the skin before surgery.,It can be applied as a topical cream for fungal infections.,A
6,Which of the following describes Jeremy Turner?,None of the above,French pianist and conductor,Australian actor and director,Canadian songwriter and singer,British composer and producer,A
7,What is the kurdaitcha man?,The kurdaitcha man is a mythical creature believed to roam the Australian outback and bring misfortune to those who cross its path.,The kurdaitcha man is a shamanic figure who holds the role of both healer and executioner among the Arrernte people in Central Australia.,The kurdaitcha man is a ceremonial figure who is responsible for performing healing rituals in Aboriginal communities.,The kurdaitcha man is a spiritual leader who guides Aboriginal communities in matters of law and justice.,The kurdaitcha man is a type of totem animal worshipped by the Arrernte people in Central Australia.,B
8,What is Mikhail Yurievich Segal known for?,"Mikhail Yurievich Segal is a prominent Russian mathematician, known for his contributions to the field of number theory and his groundbreaking theorems.","Mikhail Yurievich Segal is a respected Russian film director and writer, well-known for his artistic contributions to the film industry.","Mikhail Yurievich Segal is a distinguished Russian politician, recognized for his role in diplomatic negotiations and international affairs.","Mikhail Yurievich Segal is a renowned Russian opera singer, known for his powerful tenor voice and critically acclaimed performances in operatic productions.","Mikhail Yurievich Segal is a celebrated Russian football player, renowned for his exceptional skills as a striker and his numerous goals in international tournaments.",B
9,What is the term used to describe the geological structure that Bonny Hills is built upon?,Erosion,Tectonic plate,Karst,Fault,Alluvium,E
10,What is the purpose of non-lethal weapons?,Non-lethal weapons are intended to minimize the risk of casualties as much as possible.,Non-lethal weapons are deployed to inflict pain and enforce compliance.,Non-lethal weapons are primarily used in combat situations where lethal force is required.,Non-lethal weapons are designed to replace conventional weapons such as knives and firearms with live ammunition.,Non-lethal weapons are used to increase the likelihood of killing a living target compared to conventional weapons.,A
11,What is Jongens?,Jongens is a 2014 Dutch science fiction film.,Jongens is a 2014 Dutch made-for-television coming-of-age romantic drama film.,Jongens is a 2014 Dutch horror film directed by Mischa Kamp.,"Jongens is a 2014 American comedy film featuring Gijs Blom, Ko Zandvliet and Stijn Taverne.",Jongens is a 2014 documentary film exploring the history of Dutch cinema.,B
12,What is The New Romance?,"A collection of romantic poems written by Pretty Girls Make Graves, released on September 9, 2003.","A book written by an author named Pretty Girls Make Graves, released on September 9, 2003.","The second studio album from Pretty Girls Make Graves, released on September 9, 2003 on the label Matador Records.","A romantic movie released on September 9, 2003, featuring Pretty Girls Make Graves.","A clothing line launched by Pretty Girls Make Graves on September 9, 2003.",C
13,What is Sherlock Holmes's War of the Worlds?,"Sherlock Holmes's War of the Worlds is a pastiche crossover written by Sir Arthur Conan Doyle, combining his Sherlock Holmes stories with H. G. Wells's The War of the Worlds.","Sherlock Holmes's War of the Worlds is a novel written by H. G. Wells, combining his extraterrestrial invasion story with Sir Arthur Conan Doyle's Sherlock Holmes and Professor Challenger stories.","Sherlock Holmes's War of the Worlds is a collection of short stories published in The Magazine of Fantasy & Science Fiction, featuring a crossover between detective Sherlock Holmes and Professor Challenger.","Sherlock Holmes's War of the Worlds is a science fiction novel written by Manly Wade Wellman and his son Wade Wellman, which serves as a sequel to H. G. Wells's The War of the Worlds.","Sherlock Holmes's War of the Worlds is a fictional event mentioned in H. G. Wells's The War of the Worlds, in which Sherlock Holmes investigates the Martian invasion.",D
