id,text
0,B
1,A
2,C
3,B
4,D
5,C
6,A
7,B
8,B
9,A
10,C
11,D
12,A
13,E
14,B
15,B
16,B
17,D
18,A
19,E
20,B
21,B
22,C
23,C
24,B
25,E
26,C
27,D
28,E
29,C
30,A
31,E
32,D
33,A
34,A
35,B
36,D
37,A
38,E
39,B
40,A
41,B
42,B
43,D
44,D
45,A
46,B
47,C
48,D
49,A
50,B
51,C
52,C
53,B
54,B
55,B
56,C
57,C
58,D
59,A
60,B
61,B
62,C
63,C
64,A
65,C
66,C
67,E
68,A
69,D
70,B
71,A
72,B
73,B
74,D
75,C
76,C
77,B
78,C
79,E
80,C
81,A
82,B
83,A
84,A
85,D
86,A
87,B
88,B
89,A
90,B
91,B
92,C
93,E
94,E
95,C
96,E
97,C
98,B
99,A
100,D
101,B
102,C
103,B
104,C
105,B
106,A
107,C
108,D
109,A
110,C
111,D
112,C
113,B
114,D
115,E
116,B
117,C
118,B
119,A
120,A
121,E
122,B
123,E
124,C
125,D
126,B
127,C
128,B
129,D
130,A
131,C
132,E
133,B
134,C
135,E
136,A
137,C
138,A
139,A
140,C
141,A
142,B
143,C
144,C
145,B
146,B
147,A
148,C
149,A
150,C
151,C
152,B
153,D
154,B
155,E
156,B
157,A
158,B
159,A
160,C
161,E
162,C
163,C
164,B
165,B
166,B
167,C
168,D
169,A
170,B
171,B
172,B
173,C
174,B
175,B
176,C
177,B
178,A
179,E
180,B
181,D
182,A
183,C
184,A
185,E
186,C
187,B
188,B
189,B
190,C
191,C
192,A
193,B
194,B
195,C
196,B
197,B
198,C
199,C
